time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,city
2010-01-01,26.0,14.8,20.6,0.0,14.7,21.2,16.19,3.54,Karachi
2010-01-02,25.3,17.5,20.9,0.0,24.3,33.8,10.22,4.09,Karachi
2010-01-03,25.0,14.3,19.8,0.0,16.3,26.6,15.94,3.71,Karachi
2010-01-04,25.6,15.0,20.4,0.0,17.3,23.4,16.27,3.78,Karachi
2010-01-05,25.4,16.2,20.6,0.0,18.9,27.0,16.34,3.56,Karachi
2010-01-06,24.1,15.1,20.1,0.0,16.8,27.7,15.73,3.16,Karachi
2010-01-07,26.0,15.1,20.6,0.0,14.2,20.9,16.42,3.57,Karachi
2010-01-08,25.5,16.8,20.7,0.0,26.4,39.2,16.56,5.3,Karachi
2010-01-09,25.4,15.1,19.8,0.0,24.8,36.7,16.64,4.5,Karachi
2010-01-10,25.9,13.9,19.6,0.0,19.8,30.2,16.76,3.77,Karachi
2010-01-11,24.3,15.8,19.5,0.0,24.8,37.1,11.83,4.37,Karachi
2010-01-12,22.5,15.0,18.8,0.0,17.8,25.2,15.28,3.44,Karachi
2010-01-13,24.3,13.5,19.6,0.0,11.9,17.6,17.25,3.66,Karachi
2010-01-14,24.6,12.6,18.9,0.0,13.0,22.3,16.77,3.6,Karachi
2010-01-15,25.5,14.4,19.5,0.0,17.5,28.1,15.8,4.32,Karachi
2010-01-16,26.6,13.8,19.7,0.0,20.0,31.0,17.46,4.4,Karachi
2010-01-17,25.7,12.2,19.0,0.0,16.9,24.8,17.43,3.77,Karachi
2010-01-18,25.8,14.2,20.2,0.0,13.1,17.6,17.2,3.25,Karachi
2010-01-19,26.1,14.2,20.2,0.0,13.0,20.2,17.38,3.64,Karachi
2010-01-20,26.5,14.6,20.6,0.0,10.9,22.3,17.31,3.62,Karachi
2010-01-21,26.8,15.6,20.9,0.0,17.4,29.5,15.85,4.02,Karachi
2010-01-22,25.4,15.0,20.3,0.0,15.9,25.6,17.87,3.84,Karachi
2010-01-23,25.5,16.4,20.8,0.0,17.7,25.6,16.99,3.35,Karachi
2010-01-24,27.1,17.1,21.9,0.0,16.1,22.0,16.67,3.18,Karachi
2010-01-25,28.1,16.7,22.1,0.0,16.0,31.3,17.91,4.18,Karachi
2010-01-26,27.0,15.5,21.3,0.0,16.9,23.4,18.1,4.34,Karachi
2010-01-27,25.9,15.8,21.2,0.0,15.8,23.4,17.8,4.01,Karachi
2010-01-28,25.9,17.5,21.5,0.0,21.0,30.6,16.54,3.62,Karachi
2010-01-29,26.0,18.6,21.9,0.0,18.2,25.9,18.02,3.73,Karachi
2010-01-30,27.0,16.0,21.5,0.0,16.3,24.5,18.17,3.86,Karachi
2010-01-31,26.1,15.8,21.1,0.0,16.3,24.8,18.32,3.88,Karachi
2010-02-01,26.5,17.0,21.5,0.0,17.9,27.0,18.34,3.94,Karachi
2010-02-02,27.7,15.7,21.9,0.0,12.6,19.4,18.29,3.83,Karachi
2010-02-03,29.1,17.1,23.0,0.0,22.0,32.8,18.57,4.76,Karachi
2010-02-04,29.5,17.2,23.1,0.0,13.4,23.8,18.61,4.98,Karachi
2010-02-05,30.0,16.3,23.1,0.0,13.6,20.5,18.56,4.66,Karachi
2010-02-06,29.3,16.6,23.1,0.0,11.4,22.7,18.76,4.26,Karachi
2010-02-07,26.0,18.1,22.5,0.0,13.6,20.2,16.18,3.32,Karachi
2010-02-08,23.4,17.9,21.6,8.3,35.7,52.6,8.08,2.84,Karachi
2010-02-09,19.7,13.4,16.6,0.0,30.3,43.2,20.43,5.19,Karachi
2010-02-10,22.8,11.5,17.0,0.0,25.7,40.3,20.35,5.08,Karachi
2010-02-11,23.1,13.6,17.8,0.0,31.6,48.6,20.37,5.8,Karachi
2010-02-12,23.6,11.2,17.6,0.0,15.1,25.6,20.02,4.21,Karachi
2010-02-13,25.4,13.7,19.6,0.0,13.3,21.6,20.0,4.03,Karachi
2010-02-14,27.0,13.3,20.3,0.0,17.5,26.6,20.3,4.73,Karachi
