STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CLDD,DP01,DP10,DT00,DT32,DX32,DX70,DX90,EMNT,EMXP,EMXT,HDSD,HTDD,PRCP,TAVG,TMAX,TMIN
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2004-02,,0,0,,,0,25,4,,0,92,,,0,,86.4,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2004-03,,0,0,,,0,29,28,,0,107,,,0,,97.2,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2004-04,,,,,,0,26,26,,,107,,,,,96,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2004-05,,0,0,,,0,27,27,,0,110,,,0,,98,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2004-06,,0,0,,,0,27,27,,0,110,,,0,,96,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2004-07,,,,0,0,,,,75,,,,,,,,81.8
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2004-08,,1,1,0,0,0,27,15,77,0.22,99,,,0.22,85,90.6,79.4
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2004-09,,0,0,,,0,28,17,,0,99,,,0,,91.3,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2004-10,,2,2,,,,,,,1.04,,,,1.28,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2004-11,,0,0,,,0,25,17,,0,96,,,0,,91.6,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2005-01,,2,2,,,,,,,0.26,,,,0.43,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2005-02,,1,1,,,,,,,0.27,,,,0.27,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2005-03,,0,0,,,0,28,9,,0,98,,,0,,88.9,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2005-04,,0,0,,,,,,,0,,,,0,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2005-06,,1,0,,,,,,,0.04,,,,0.04,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2005-08,,,,,,0,28,14,,,93,,,,,89.7,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2005-09,,,,,,0,27,24,,,101,,,,,94.1,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2005-10,,,,,,0,29,26,,,104,,,,,96,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2006-02,,,,0,0,,,,56,,,,,,,,64.5
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2006-03,,,,,,0,26,11,,,97,,,,,89.4,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2006-05,,,,0,0,,,,78,,,,,,,,81.4
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2006-06,,,,0,0,0,27,27,82,,107,,,,89.6,95.8,83.4
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2006-07,583,,,0,0,0,30,25,68,,99,0,0,,87.4,92.6,82.3
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2006-08,,,,0,0,0,26,7,75,,98,,,,83.9,88.5,79.3
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2006-09,,,,,,0,27,19,,,104,,,,,93.5,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2006-10,,,,,,0,28,28,,,101,,,,,95.3,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2006-11,,,,,,0,29,19,,,99,,,,,91.4,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2006-12,,,,0,0,0,27,0,51,,86,,,,68.3,79.5,57.1
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2007-01,,,,,,0,28,0,,,90,,,,,80.9,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2007-02,207,,,0,0,0,24,0,58,,90,,0,,74,85.1,62.9
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2007-03,,,,,,0,29,15,,,95,,,,,88.9,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2007-04,,,,,,0,28,28,,,106,,,,,97.2,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2007-05,,2,1,,,0,26,26,,1.97,107,,,1.98,,97.1,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2007-06,,,,,,0,25,23,,,108,,,,,97.2,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2007-07,,4,1,,,0,30,30,,1.57,99,,,1.66,,94.3,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2007-09,,,,,,0,28,27,,,104,,,,,94.5,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2007-10,,,,,,0,27,26,,,105,,,,,96.8,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2007-11,,0,0,,,0,28,21,,0,99,,,0,,92.7,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2007-12,,4,2,,,0,30,0,,0.43,87,,,0.73,,80.4,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2008-01,,,,,,0,28,0,,,82,,,,,76.2,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2008-02,,0,0,0,0,0,22,5,41,0,93,,,0,66.5,81.5,51.5
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2008-06,,0,0,0,0,0,27,27,83,0,104,,,0,89.9,95.5,84.3
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2008-07,,2,1,0,0,0,29,26,76,2.13,99,,,2.17,87.2,92.3,82.1
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2008-08,532,4,3,0,0,0,28,11,79,0.65,92,,0,1.49,84.8,89.3,80.3
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2008-09,547,0,0,0,0,0,28,22,73,0,108,,0,0,87.2,94.9,79.5
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2008-10,536,0,0,0,0,0,26,26,68,0,103,,0,0,85.6,96.4,74.9
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2008-11,,0,0,,,0,26,12,,0,98,,,0,,90.4,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2008-12,,3,3,,,0,25,3,,0.4,91,,,0.83,,81,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2009-01,,2,0,,,0,28,0,,0.08,85,,,0.12,,79.1,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2009-02,,0,0,0,0,0,26,4,54,0,93,,,0,73.6,85.7,61.4
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2009-03,,0,0,0,0,0,26,18,61,0,101,,,0,80.4,92,68.7
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2009-04,,0,0,0,0,0,25,24,69,0,108,,,0,85.9,96.9,74.8
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2009-05,,0,0,,,0,30,30,,0,107,,,0,,98.3,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2009-06,,1,1,,,,,,,0.1,,,,0.1,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2009-07,,5,4,,,0,27,24,,5.61,102,,,6.37,,94.5,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2009-08,,3,1,,,0,30,22,,1.63,99,,,1.74,,91.2,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2009-09,,1,1,0,0,0,28,22,79,2.71,94,,,2.71,85.5,91.2,79.9
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2009-10,,0,0,,,0,28,28,,0,107,,,0,,96.6,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2009-11,,0,0,,,,,,,0,,,,0,,,
PKM00041780,"JINNAH INTERNATIONAL, PK",24.907,67.161,30.5,2009-12,,1,0,,,0,26,0,,0.04,89,,,0.04,,83.4,
